"Year","Sex","Rank","Name","Count","Data_Revision_Date"
2000,Female,2,ASHLEY,2815,11/07/2022
2000,Female,3,SAMANTHA,2576,11/07/2022
2000,Female,4,JESSICA,2467,11/07/2022
2000,Female,5,JENNIFER,2256,11/07/2022
2000,Female,6,ALYSSA,2003,11/07/2022
2000,Female,7,HANNAH,1849,11/07/2022
2000,Female,8,SARAH,1847,11/07/2022
2000,Female,9,ELIZABETH,1830,11/07/2022
2000,Female,10,ALEXIS,1825,11/07/2022
2000,Female,11,VANESSA,1628,11/07/2022
2000,Female,12,JASMINE,1599,11/07/2022
2000,Female,13,STEPHANIE,1585,11/07/2022
2000,Female,14,NATALIE,1578,11/07/2022
2000,Female,15,JACQUELINE,1551,11/07/2022
2000,Female,16,MARIA,1465,11/07/2022
2000,Female,17,BRIANNA,1442,11/07/2022
2000,Female,18,MADISON,1433,11/07/2022
2000,Female,19,ANDREA,1409,11/07/2022
2000,Female,20,KIMBERLY,1394,11/07/2022
2000,Female,21,LAUREN,1383,11/07/2022
2000,Female,22,MICHELLE,1360,11/07/2022
2000,Female,23,VICTORIA,1288,11/07/2022
2000,Female,24,DESTINY,1188,11/07/2022
2000,Female,25,NICOLE,1162,11/07/2022
2000,Male,1,DANIEL,4323,11/07/2022
2000,Male,2,ANTHONY,3823,11/07/2022
2000,Male,3,JOSE,3773,11/07/2022
2000,Male,4,ANDREW,3572,11/07/2022
2000,Male,5,MICHAEL,3538,11/07/2022
2000,Male,6,JACOB,3501,11/07/2022
2000,Male,7,JOSHUA,3338,11/07/2022
2000,Male,8,CHRISTOPHER,3311,11/07/2022
2000,Male,9,DAVID,3263,11/07/2022
2000,Male,10,MATTHEW,3238,11/07/2022
2000,Male,11,JONATHAN,2979,11/07/2022
2000,Male,12,JOSEPH,2742,11/07/2022
2000,Male,13,BRANDON,2614,11/07/2022
2000,Male,14,NICHOLAS,2569,11/07/2022
2000,Male,15,RYAN,2549,11/07/2022
2000,Male,16,CHRISTIAN,2437,11/07/2022
2000,Male,17,ANGEL,2353,11/07/2022
2000,Male,18,KEVIN,2351,11/07/2022
2000,Male,19,LUIS,2285,11/07/2022
2000,Male,20,JUAN,2215,11/07/2022
2000,Male,21,ALEXANDER,2173,11/07/2022
2000,Male,22,JUSTIN,2156,11/07/2022
2000,Male,23,JESUS,1889,11/07/2022
2000,Male,24,CARLOS,1773,11/07/2022
2000,Male,25,BRIAN,1738,11/07/2022
2001,Female,1,EMILY,2921,11/07/2022
2001,Female,2,ASHLEY,2707,11/07/2022
2001,Female,3,SAMANTHA,2518,11/07/2022
2001,Female,4,JESSICA,2226,11/07/2022
2001,Female,5,ALYSSA,2051,11/07/2022
2001,Female,6,JENNIFER,2015,11/07/2022
2001,Female,7,NATALIE,1715,11/07/2022
2001,Female,8,ELIZABETH,1681,11/07/2022
2001,Female,9,ALEXIS,1662,11/07/2022
2001,Female,10,JASMINE,1651,11/07/2022
2001,Female,11,SARAH,1592,11/07/2022
2001,Female,12,MADISON,1590,11/07/2022
2001,Female,13,HANNAH,1572,11/07/2022
2001,Female,14,ANDREA,1511,11/07/2022
2001,Female,15,STEPHANIE,1503,11/07/2022
2001,Female,16,ISABELLA,1474,11/07/2022
2001,Female,17,VANESSA,1440,11/07/2022
2001,Female,18,BRIANNA,1399,11/07/2022
2001,Female,19,KIMBERLY,1361,11/07/2022
2001,Female,20,MARIA,1357,11/07/2022
2001,Female,21,KAYLA,1205,11/07/2022
2001,Female,22,DESTINY,1200,11/07/2022
2001,Female,22,JACQUELINE,1200,11/07/2022
2001,Female,24,MICHELLE,1193,11/07/2022
2001,Female,25,VICTORIA,1188,11/07/2022
2001,Male,1,DANIEL,4142,11/07/2022
2001,Male,2,ANTHONY,3801,11/07/2022
2001,Male,3,ANDREW,3420,11/07/2022
2001,Male,4,JOSE,3419,11/07/2022
2001,Male,5,JACOB,3363,11/07/2022
2001,Male,6,DAVID,3323,11/07/2022
2001,Male,7,MICHAEL,3266,11/07/2022
2001,Male,8,JOSHUA,3196,11/07/2022
2001,Male,9,MATTHEW,3069,11/07/2022
2001,Male,10,CHRISTOPHER,3006,11/07/2022
2001,Male,11,JONATHAN,2853,11/07/2022
2001,Male,12,JOSEPH,2708,11/07/2022
2001,Male,13,ANGEL,2492,11/07/2022
2001,Male,14,KEVIN,2391,11/07/2022
2001,Male,15,CHRISTIAN,2324,11/07/2022
2001,Male,16,NICHOLAS,2309,11/07/2022
2001,Male,17,RYAN,2308,11/07/2022
2001,Male,18,BRANDON,2265,11/07/2022
2001,Male,19,LUIS,2136,11/07/2022
2001,Male,20,JESUS,2082,11/07/2022
2001,Male,21,ALEXANDER,2065,11/07/2022
2001,Male,22,JUSTIN,2005,11/07/2022
2001,Male,23,JUAN,1983,11/07/2022
2001,Male,24,CARLOS,1916,11/07/2022
2001,Male,25,GABRIEL,1758,11/07/2022
2002,Female,1,EMILY,3011,11/07/2022
2002,Female,2,ASHLEY,2670,11/07/2022
2002,Female,3,SAMANTHA,2535,11/07/2022
2002,Female,4,JESSICA,1994,11/07/2022
2002,Female,5,JENNIFER,1977,11/07/2022
2002,Female,6,ISABELLA,1873,11/07/2022
2002,Female,7,ALYSSA,1869,11/07/2022
2002,Female,8,ELIZABETH,1699,11/07/2022
2002,Female,9,JASMINE,1659,11/07/2022
2002,Female,10,NATALIE,1638,11/07/2022
2002,Female,11,ALEXIS,1581,11/07/2022
2002,Female,12,SARAH,1549,11/07/2022
2002,Female,13,MADISON,1527,11/07/2022
2002,Female,14,HANNAH,1485,11/07/2022
2002,Female,15,STEPHANIE,1463,11/07/2022
2002,Female,16,BRIANNA,1453,11/07/2022
2002,Female,17,ANDREA,1340,11/07/2022
2002,Female,18,SOPHIA,1323,11/07/2022
2002,Female,19,MARIA,1306,11/07/2022
2002,Female,20,EMMA,1287,11/07/2022
2002,Female,21,MICHELLE,1277,11/07/2022
2002,Female,22,VANESSA,1258,11/07/2022
2002,Female,23,VICTORIA,1211,11/07/2022
2002,Female,24,KIMBERLY,1206,11/07/2022
2002,Female,24,LESLIE,1206,11/07/2022
2002,Male,1,DANIEL,4101,11/07/2022
2002,Male,2,ANTHONY,3755,11/07/2022
2002,Male,3,JOSE,3546,11/07/2022
2002,Male,4,ANDREW,3523,11/07/2022
2002,Male,5,JACOB,3358,11/07/2022
2002,Male,6,JOSHUA,3348,11/07/2022
2002,Male,7,MICHAEL,3205,11/07/2022
2002,Male,8,DAVID,3173,11/07/2022
2002,Male,9,MATTHEW,3071,11/07/2022
2002,Male,10,ANGEL,2912,11/07/2022
2002,Male,11,CHRISTOPHER,2886,11/07/2022
2002,Male,12,JONATHAN,2719,11/07/2022
2002,Male,13,JOSEPH,2676,11/07/2022
2002,Male,14,ALEXANDER,2382,11/07/2022
2002,Male,15,KEVIN,2344,11/07/2022
2002,Male,16,RYAN,2281,11/07/2022
2002,Male,17,BRANDON,2257,11/07/2022
2002,Male,17,CHRISTIAN,2257,11/07/2022
2002,Male,19,ETHAN,2252,11/07/2022
2002,Male,20,NICHOLAS,2190,11/07/2022
2002,Male,21,JUAN,2047,11/07/2022
2002,Male,22,LUIS,1984,11/07/2022
2002,Male,23,JESUS,1976,11/07/2022
2002,Male,24,NATHAN,1934,11/07/2022
2002,Male,25,JUSTIN,1926,11/07/2022
2003,Female,1,EMILY,3398,11/07/2022
2003,Female,2,ASHLEY,2732,11/07/2022
2003,Female,3,SAMANTHA,2571,11/07/2022
2003,Female,4,ISABELLA,2173,11/07/2022
2003,Female,5,ALYSSA,1920,11/07/2022
2003,Female,6,EMMA,1832,11/07/2022
2003,Female,7,NATALIE,1817,11/07/2022
2003,Female,8,JESSICA,1756,11/07/2022
2003,Female,9,JENNIFER,1697,11/07/2022
2003,Female,10,ELIZABETH,1666,11/07/2022
2003,Female,11,JASMINE,1608,11/07/2022
2003,Female,12,ALEXIS,1549,11/07/2022
2003,Female,13,SOPHIA,1527,11/07/2022
