name,birth
Aldous Huxley,1894
J.D. Salinger,1919
Harper Lee,1926
Roald Dahl,1916
Agatha Christie,1890
John Steinbeck,1902
Margaret Mitchell,1900
Ralph Ellison,1914
William Faulkner,1897
Kate Chopin,1850
Anthony Burgess,1917
Maya Angelou,1928
Toni Morrison,1931
Truman Capote,1924
Upton Sinclair,1878
Kurt Vonnegut,1922
Vladimir Nabokov,1899
Joseph Heller,1923
J.R.R. Tolkien,1892
Alice Walker,1944
Mark Twain,1835
Jack London,1876
Ken Kesey,1935
D.H. Lawrence,1885
George Orwell,1903
Richard Wright,1908
Ernest Hemingway,1899
