title,author,year,ISBN
The Catcher in the Rye,J.D. Salinger,1945,9780316769488
The Grapes of Wrath,John Steinbeck,1939,0749395176
To Kill a Mockingbird,Harper Lee,1960,1439550417
The Color Purple,Alice Walker,1982,9780704346666
Beloved,Toni Morrison,1987,9780606040464
Gone With the Wind,Margaret Mitchell,1936,4309610722
Lolita,Vladimir Nabokov,1955,9785784106254
Of Mice and Men,John Steinbeck,1937,2070360377
Catch-22,Joseph Heller,1961,9780671128050
Brave New World,Aldous Huxley,1932,9789506440350
Animal Farm,George Orwell,1945,9788187057314
The Sun Also Rises,Ernest Hemingway,1926,9780330105514
As I Lay Dying,William Faulkner,1930,0394415817
A Farewell to Arms,Ernest Hemingway,1929,9781476770444
Invisible Man,Ralph Ellison,1952,0141184426
Native Son,Richard Wright,1940,0737703202
One Flew Over the Cuckoo's Nest,Ken Kesey,1962,9941115214
Slaughterhouse Five,Kurt Vonnegut,1968,0099458438
For Whom the Bell Tolls,Ernest Hemingway,1940,9788432054600
The Call of the Wild,Jack London,1903,0517531267
The Jungle,Upton Sinclair,1905,0918518652
Lady Chatterley's Lover,D.H. Lawrence,1928,9500303736
A Clockwork Orange,Anthony Burgess,1962,9781858496344
The Awakening,Kate Chopin,1899,9783442725533
In Cold Blood,Truman Capote,1965,0451144597
