NAME,Abbreviation,POPESTIMATE2020
Alabama,AL,5033094
Alaska,AK,733017
Arizona,AZ,7187135
Arkansas,AR,3014546
California,CA,39521958
Colorado,CO,5787129
Connecticut,CT,3579918
Delaware,DE,991928
District of Columbia,DC,670917
Florida,FL,21592035
Georgia,GA,10732888
Hawaii,HI,1451252
Idaho,ID,1849415
Illinois,IL,12799088
Indiana,IN,6790497
Iowa,IA,3191141
Kansas,KS,2938172
Kentucky,KY,4508318
Louisiana,LA,4652301
Maine,ME,1364571
Maryland,MD,6177935
Massachusetts,MA,6994598
Michigan,MI,10072703
Minnesota,MN,5710735
Mississippi,MS,2958536
Missouri,MO,6154744
Montana,MT,1087230
Nebraska,NE,1963387
Nevada,NV,3116967
New Hampshire,NH,1378756
New Jersey,NJ,9272794
New Mexico,NM,2118606
New York,NY,20105171
North Carolina,NC,10449652
North Dakota,ND,779563
Ohio,OH,11798905
Oklahoma,OK,3965415
Oregon,OR,4243779
Pennsylvania,PA,12996143
Rhode Island,RI,1096530
South Carolina,SC,5132249
South Dakota,SD,887948
Tennessee,TN,6927904
Texas,TX,29239570
Utah,UT,3284077
Vermont,VT,642977
Virginia,VA,8637615
Washington,WA,7727209
West Virginia,WV,1791646
Wisconsin,WI,5897375
Wyoming,WY,577681
